时间,资产名称,当前指数,涨跌幅,当前价格
2024-11-05 19:00:00,总资产,1.00,0.00%,200.00
2024-11-05 19:00:00,纳斯达克综合指数,18439.17,0.00%,40.00
2024-11-05 19:00:00,标普500指数,5782.76,0.00%,40.00
2024-11-05 19:00:00,沪深300指数,4084.18,0.00%,40.00
2024-11-05 19:00:00,中证海外中国互联网50,7893.96,0.00%,40.00
2024-11-05 19:00:00,比特币(USD),71990.44,0.00%,40.00
2024-11-06 14:06:19,总资产,1.01,0.51%,201.02
2024-11-06 14:06:19,纳斯达克综合指数,18439.17,1.03%,40.00
2024-11-06 14:06:19,标普500指数,5782.76,1.05%,40.00
2024-11-06 14:06:19,沪深300指数,4054.95,0.09%,39.71
2024-11-06 14:06:19,中证海外中国互联网50,7831.07,-1.73%,39.68
2024-11-06 14:06:19,比特币(USD),74916.52,7.99%,41.63
